Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.25,Sat Nov 04 11:30:05 +0000 2017,0.172,0.693,0.135,"To celebrate Murder on the Orient Express hitting UK cinemas, here are seven train movies to set the pulse racing.… https://t.co/PqTALE0vcn",57,@BBC
0.0,Sat Nov 04 11:01:02 +0000 2017,0.0,1.0,0.0,Someone has farted on @grahnort's sofa...but who was it? 😂 (Via @BBCOne) https://t.co/zG2YvGvac9,58,@BBC
-0.1531,Sat Nov 04 10:30:05 +0000 2017,0.155,0.675,0.171,There remains intense interest in Ruan Lingyu &amp; the mystery surrounding her death. Who was the enigmatic film star?… https://t.co/hFtAJiePry,59,@BBC
-0.1779,Sat Nov 04 09:30:04 +0000 2017,0.195,0.805,0.0,Gossip travels fast in Shetland. 😂 Via @BBCTheSocial. https://t.co/vzZq1YZUYI,60,@BBC
0.8225,Sat Nov 04 09:24:21 +0000 2017,0.0,0.699,0.301,"RT @BBCCiN: The best brains in Britain are building life-changing solutions for children in the #CiN Big Life Fix special.

@BBCTwo​ Wed 8t…",61,@BBC
0.4019,Sat Nov 04 09:23:31 +0000 2017,0.0,0.856,0.144,"RT @CBeebiesHQ: Whatever the weather, keep your kids entertained this #autumn with these 5 ideas...

🍁🍂 https://t.co/wT8oVaVYqg 🙌

@HEYDUGG…",62,@BBC
0.7351,Sat Nov 04 09:22:39 +0000 2017,0.0,0.788,0.212,"RT @5liveSport: ""My kids saw me in a state that a kid should never see his Dad""

This is powerful stuff: 
Stiliyan Petrov on his brave batt…",63,@BBC
0.7644,Sat Nov 04 09:00:04 +0000 2017,0.0,0.645,0.355,"Happy 2nd birthday @BBCWthrWatchers! 🎈🎉
Keep those stunning photos rolling in. 📸🌤 https://t.co/FOzCyLKlrB https://t.co/Tcy4xYfHWs",64,@BBC
0.0,Sat Nov 04 08:30:06 +0000 2017,0.0,1.0,0.0,The bloodworm is one of the many 'stars' to feature in a venomous animals exhibition at @NHM_London next week. 😵… https://t.co/XxCmXRBhSS,65,@BBC
0.5994,Sat Nov 04 08:03:01 +0000 2017,0.0,0.794,0.206,And...relax. Spend three minutes in the beautiful British countryside with this footage from @BBCSpringwatch's wild… https://t.co/K3XJtvBbtW,66,@BBC
0.3744,Fri Nov 03 23:51:35 +0000 2017,0.0,0.811,0.189,"RT @bbcmusic: ""I'm more of a @CherylOfficial fan actually"" 😂

(Sorry @LiamPayne)

#SLFN https://t.co/MXxDilJSq3",67,@BBC
